pair_id,ground_truth,quantum,classical_cosine,classical_euclidean,classical_weighted
2965,0.6639600599353648,0.6639600599353648,0.8148374438716993,0.8243286420005143,0.8243286420005144
2966,0.6560078607940566,0.6560078607940566,0.8099431219499655,0.8220220622052485,0.8220220622052485
2967,0.6289382771082977,0.6289382771082977,0.7930562887388876,0.8142834995388973,0.8142834995388973
2968,0.3803187730883486,0.3803187730883486,0.6166999052118857,0.7472484438596818,0.7472484438596818
2969,0.5810527738817989,0.5810527738817989,0.762268177140958,0.8009473173340609,0.8009473173340609
2970,0.41496009208790585,0.41496009208790585,0.6441739610446126,0.7564751761608317,0.7564751761608317
2971,0.6523198591315857,0.6523198591315857,0.8076632089748708,0.8209577372866351,0.8209577372866351
2972,0.4944969913848432,0.4944969913848432,0.7032048004563417,0.7775907677487066,0.7775907677487066
2973,0.7878108502320367,0.7878108502320367,0.8875870944487851,0.8631223748798371,0.8631223748798372
2974,0.48122449148141777,0.48122449148141777,0.6937034607679408,0.7740588058689978,0.7740588058689978
2975,0.3876581091787564,0.3876581091787564,0.6226219632961534,0.7492085738095476,0.7492085738095476
2976,0.4110326688963206,0.4110326688963206,0.6411182955557584,0.7554317735122291,0.7554317735122291
2977,0.6038927208820869,0.6038927208820869,0.7771053473513659,0.8072589592879287,0.8072589592879287
2978,0.6710593267489247,0.6710593267489247,0.8191821084160253,0.8264018569684692,0.8264018569684692
2979,0.6920575226313028,0.6920575226313028,0.8318999474884604,0.8326181747662252,0.8326181747662252
2980,0.5295773765193279,0.5295773765193279,0.727720672043421,0.786974442864798,0.7869744428647981
